alarm_vague	symptom_number	symptom_desc	medcode	readcode	readcode_desc
Alarm symptom	3	Breast lump	841	K317100	Lump in breast
Alarm symptom	3	Breast lump	2149	26B7.11	Breast irregular nodularity
Alarm symptom	3	Breast lump	5770	1A8..00	Breast lump symptom
Alarm symptom	3	Breast lump	7646	K317111	Breast mass
Alarm symptom	3	Breast lump	10103	1A82.00	Breast lump present
Alarm symptom	3	Breast lump	16551	26E..11	O/E - breast lump position
Alarm symptom	3	Breast lump	17215	26G..00	O/E - breast lump consistency
Alarm symptom	3	Breast lump	17595	26F..00	O/E - breast lump size
Alarm symptom	3	Breast lump	27635	26I..00	O/E - breast lump tethering
Alarm symptom	3	Breast lump	28300	26H..11	O/E - breast lump - outline
Alarm symptom	3	Breast lump	29506	26E..00	O/E - breast lump palpated
Alarm symptom	3	Breast lump	29518	26H..00	O/E - breast lump regularity
Alarm symptom	3	Breast lump	29523	26F4.00	O/E - breast lump-orange size
Alarm symptom	3	Breast lump	29607	26E3.00	O/E-breast lump-upper in-quad
Alarm symptom	3	Breast lump	29653	26E5.00	O/E-breast lump-upper out-quad
Alarm symptom	3	Breast lump	29837	26E2.00	O/E-breast lump-nipple/central
Alarm symptom	3	Breast lump	29838	26F1.00	O/E - breast lump - pea size
Alarm symptom	3	Breast lump	32819	1A84.00	Breast lump detected by mammogram
Alarm symptom	3	Breast lump	35542	1A83.00	Breast lump detected by clinician examination
Alarm symptom	3	Breast lump	36141	1A8Z.00	Breast lump symptom NOS
Alarm symptom	3	Breast lump	37366	26E7.00	O/E-breast lump- axillary tail
Alarm symptom	3	Breast lump	39091	1A86.00	Breast lump detected by self-examination
Alarm symptom	3	Breast lump	45821	26F2.00	O/E - breast lump - plum size
Alarm symptom	3	Breast lump	45894	26E6.00	O/E-breast lump-lower out-quad
Alarm symptom	3	Breast lump	46086	26EZ.00	O/E - breast lump palpated NOS
Alarm symptom	3	Breast lump	51819	26H2.00	O/E - breast lump irregular
Alarm symptom	3	Breast lump	52747	26G2.00	O/E - breast lump cystic
Alarm symptom	3	Breast lump	52777	26G3.00	O/E - breast lump hard
Alarm symptom	3	Breast lump	54545	26E4.00	O/E -breast lump-lower in-quad
